id,authorships.author.display_name,authorships.author.id,authorships.author.orcid,authorships.countries,authorships.institutions.display_name,authorships.institutions.id,authorships.is_corresponding,best_oa_location.license,cited_by_count,corresponding_institution_ids,display_name,doi,funders.display_name,fwci,is_retracted,language,open_access.is_oa,open_access.oa_status,primary_location.source.display_name,primary_location.source.id,primary_location.source.issn_l,primary_location.source.type,primary_topic.display_name,publication_date,publication_year,type
https://openalex.org/W2946458203,David C. Wilson|Alan R. Ek|Maryada Shrestha|Peter Deiser,https://openalex.org/A5020414555|https://openalex.org/A5056842380|https://openalex.org/A5066988786|https://openalex.org/A5055889425,https://orcid.org/0000-0001-9454-951X|||,|||,,,True|False|False|False,,0,,Cloquet Forestry Center Continuous Forest Inventory (1959-2014),https://doi.org/10.13020/096z-kg59,,,False,en,True,green,University of Minnesota Digital Conservancy (University of Minnesota),https://openalex.org/S4306402521,,repository,Forest ecology and management,1959-01-01,1959,dataset
https://openalex.org/W2946523825,Joshua W. Allen|Martin Kenward|Kevin D. Dorfman,https://openalex.org/A5006028547|https://openalex.org/A5045370444|https://openalex.org/A5080268173,||https://orcid.org/0000-0003-0065-5157,||,,,True|False|False,,0,,Data from: Coupled Flow and Reaction during Natural Convection PCR,,,,False,en,False,closed,University of Minnesota Digital Conservancy (University of Minnesota),https://openalex.org/S4306402521,,repository,Molecular Biology Techniques and Applications,2013-07-22,2013,dataset
https://openalex.org/W2946640085,Walter D. Graul,https://openalex.org/A5044970332,,,,,True,,0,,"Chick growth - wild and pen - supporting the PhD dissertation of Walter D. Graul, ""Breeding adaptations of the mountain plover : (Charadrius montanus)""",,,,False,en,True,green,University of Minnesota Digital Conservancy (University of Minnesota),https://openalex.org/S4306402521,,repository,Genetic and phenotypic traits in livestock,1973-01-01,1973,dataset
https://openalex.org/W2946655110,Scott P. White|S. Sreevatsan|C. Daniel Frisbie|Kevin D. Dorfman,https://openalex.org/A5081833348|https://openalex.org/A5061073682|https://openalex.org/A5071975512|https://openalex.org/A5080268173,https://orcid.org/0000-0001-9396-0067||https://orcid.org/0000-0002-4735-2228|https://orcid.org/0000-0003-0065-5157,|||,,,True|False|False|False,,0,,"Data from: Rapid, selective, label-free aptameric capture and detection of ricin using a printed floating gate transistor",,,,False,en,False,closed,University of Minnesota Digital Conservancy (University of Minnesota),https://openalex.org/S4306402521,,repository,Toxin Mechanisms and Immunotoxins,2016-01-01,2016,dataset
https://openalex.org/W2946948397,Shi Yu|Julian Sheats|Bianca Sclavi|Pietro Cicuta|Marco Cosentino Lagomarsino|Kevin D. Dorfman,https://openalex.org/A5053694260|https://openalex.org/A5019785858|https://openalex.org/A5019466584|https://openalex.org/A5045269326|https://openalex.org/A5041638323|https://openalex.org/A5080268173,https://orcid.org/0000-0001-7021-7561|https://orcid.org/0000-0002-0293-702X|https://orcid.org/0000-0002-3883-8592|https://orcid.org/0000-0002-9193-8496|https://orcid.org/0000-0003-0235-0445|https://orcid.org/0000-0003-0065-5157,|||||,,,True|False|False|False|False|False,,0,,Data from: Main text figure data for Subdiffusion of loci and cytoplasmic particles are different in compressed Escherichia coli cells,,,,False,en,False,closed,University of Minnesota Digital Conservancy (University of Minnesota),https://openalex.org/S4306402521,,repository,"Yersinia bacterium, plague, ectoparasites research",2018-01-01,2018,dataset
https://openalex.org/W2947232044,Abigail W. Anderson,https://openalex.org/A5008793021,,,,,True,public-domain,0,,Bird Point Counts from Downtown Minneapolis During the 2016 Breeding Season,https://doi.org/10.13020/d69d6m,,,False,en,True,green,University of Minnesota Digital Conservancy (University of Minnesota),https://openalex.org/S4306402521,,repository,Species Distribution and Climate Change,2016-06-01,2016,dataset
https://openalex.org/W2947422241,Paridhi Agrawal|Kevin D. Dorfman,https://openalex.org/A5103107619|https://openalex.org/A5080268173,https://orcid.org/0000-0002-8290-3275|https://orcid.org/0000-0003-0065-5157,|,,,True|False,,0,,Data from: Molecular combing data,,,,False,en,False,closed,University of Minnesota Digital Conservancy (University of Minnesota),https://openalex.org/S4306402521,,repository,Microfluidic and Capillary Electrophoresis Applications,2018-10-01,2018,dataset
https://openalex.org/W2947474964,Aashish Jain|Kevin D. Dorfman,https://openalex.org/A5064708063|https://openalex.org/A5080268173,https://orcid.org/0000-0001-7580-8694|https://orcid.org/0000-0003-0065-5157,|,,,True|False,,0,,Data from: Simulations of knotting of DNA during genome mapping,,,,False,en,False,closed,University of Minnesota Digital Conservancy (University of Minnesota),https://openalex.org/S4306402521,,repository,Bacteriophages and microbial interactions,2017-01-01,2017,dataset
https://openalex.org/W2947492598,Chao Qi|D. L. Kohlstedt,https://openalex.org/A5010219293|https://openalex.org/A5075342837,https://orcid.org/0000-0001-7449-0434|https://orcid.org/0000-0002-6417-6465,|,,,True|False,public-domain,0,,Optical micrographs of olivine + melt samples deformed in torsion,https://doi.org/10.13020/d67d5m,,,False,en,True,green,University of Minnesota Digital Conservancy (University of Minnesota),https://openalex.org/S4306402521,,repository,Hydrocarbon exploration and reservoir analysis,2018-01-01,2018,dataset
https://openalex.org/W2947769781,Gordon E. Legge|Christina Granquist|Alex Lubet|Rachel Gage|Ying-Zi Xiong,https://openalex.org/A5062775143|https://openalex.org/A5050638503|https://openalex.org/A5004356841|https://openalex.org/A5082196867|https://openalex.org/A5101470707,https://orcid.org/0000-0002-3742-1680||||https://orcid.org/0000-0001-7839-0019,||||,,,True|False|False|False|False,public-domain,0,,Tactile Acuity of Young and Old Pianists,https://doi.org/10.13020/fj2x-vk94,,,False,en,True,green,University of Minnesota Digital Conservancy (University of Minnesota),https://openalex.org/S4306402521,,repository,Tactile and Sensory Interactions,2016-01-01,2016,dataset
